analysis_group	model	fpr	tpr	auc
Stool Treated	xgboost	0.1414141414141414	0.4947037140075115	0.773
Stool Treated	xgboost	0.1515151515151515	0.5235498678536655	0.773
Stool Treated	xgboost	0.1616161616161616	0.5235498678536655	0.773
Stool Treated	xgboost	0.1717171717171717	0.5235498678536655	0.773
Stool Treated	xgboost	0.1818181818181818	0.5235498678536655	0.773
Stool Treated	xgboost	0.1919191919191919	0.5235498678536655	0.773
Stool Treated	xgboost	0.202020202020202	0.5901272777855058	0.773
Stool Treated	xgboost	0.2121212121212121	0.5901272777855058	0.773
Stool Treated	xgboost	0.2222222222222222	0.5901272777855058	0.773
Stool Treated	xgboost	0.2323232323232323	0.5901272777855058	0.773
Stool Treated	xgboost	0.2424242424242424	0.5901272777855058	0.773
Stool Treated	xgboost	0.2525252525252525	0.6615558492140771	0.773
Stool Treated	xgboost	0.2626262626262626	0.6615558492140771	0.773
Stool Treated	xgboost	0.2727272727272727	0.6865558492140771	0.773
Stool Treated	xgboost	0.2828282828282829	0.6961712338294618	0.773
Stool Treated	xgboost	0.2929292929292929	0.6961712338294618	0.773
Stool Treated	xgboost	0.303030303030303	0.6961712338294618	0.773
Stool Treated	xgboost	0.3131313131313131	0.6961712338294618	0.773
Stool Treated	xgboost	0.3232323232323232	0.6961712338294618	0.773
Stool Treated	xgboost	0.3333333333333333	0.7338294616775629	0.773
Stool Treated	xgboost	0.3434343434343435	0.7338294616775629	0.773
Stool Treated	xgboost	0.3535353535353536	0.7338294616775629	0.773
Stool Treated	xgboost	0.3636363636363636	0.7338294616775629	0.773
Stool Treated	xgboost	0.3737373737373737	0.7338294616775629	0.773
Stool Treated	xgboost	0.3838383838383838	0.7983899012380025	0.773
Stool Treated	xgboost	0.393939393939394	0.7983899012380025	0.773
Stool Treated	xgboost	0.4040404040404041	0.8110481290861038	0.773
Stool Treated	xgboost	0.4141414141414142	0.8110481290861038	0.773
Stool Treated	xgboost	0.4242424242424242	0.8110481290861038	0.773
Stool Treated	xgboost	0.4343434343434343	0.8110481290861038	0.773
Stool Treated	xgboost	0.4444444444444445	0.8110481290861038	0.773
Stool Treated	xgboost	0.4545454545454546	0.8110481290861038	0.773
Stool Treated	xgboost	0.4646464646464647	0.8110481290861038	0.773
Stool Treated	xgboost	0.4747474747474748	0.8205417999721796	0.773
Stool Treated	xgboost	0.4848484848484848	0.8205417999721796	0.773
Stool Treated	xgboost	0.494949494949495	0.8205417999721796	0.773
Stool Treated	xgboost	0.5050505050505051	0.8205417999721796	0.773
Stool Treated	xgboost	0.5151515151515152	0.8205417999721796	0.773
Stool Treated	xgboost	0.5252525252525253	0.8205417999721796	0.773
Stool Treated	xgboost	0.5353535353535354	0.8395291417443316	0.773
Stool Treated	xgboost	0.5454545454545455	0.8395291417443316	0.773
Stool Treated	xgboost	0.5555555555555556	0.8779906802058699	0.773
Stool Treated	xgboost	0.5656565656565657	0.8779906802058699	0.773
Stool Treated	xgboost	0.5757575757575758	0.8876060648212547	0.773
Stool Treated	xgboost	0.5858585858585859	0.8876060648212547	0.773
Stool Treated	xgboost	0.595959595959596	0.8876060648212547	0.773
Stool Treated	xgboost	0.6060606060606061	0.8939351787453054	0.773
Stool Treated	xgboost	0.6161616161616162	0.8939351787453054	0.773
Stool Treated	xgboost	0.6262626262626263	0.929649464459591	0.773
Stool Treated	xgboost	0.6363636363636365	0.929649464459591	0.773
Stool Treated	xgboost	0.6464646464646465	0.929649464459591	0.773
Stool Treated	xgboost	0.6565656565656566	0.9392648490749756	0.773
Stool Treated	xgboost	0.6666666666666667	0.9424294060370012	0.773
Stool Treated	xgboost	0.6767676767676768	0.9808909444985394	0.773
Stool Treated	xgboost	0.686868686868687	0.9808909444985394	0.773
Stool Treated	xgboost	0.696969696969697	0.9808909444985394	0.773
Stool Treated	xgboost	0.7070707070707072	0.9808909444985394	0.773
Stool Treated	xgboost	0.7171717171717172	0.9808909444985394	0.773
Stool Treated	xgboost	0.7272727272727273	0.9808909444985394	0.773
Stool Treated	xgboost	0.7373737373737375	0.9808909444985394	0.773
Stool Treated	xgboost	0.7474747474747475	0.9808909444985394	0.773
Stool Treated	xgboost	0.7575757575757577	0.9808909444985394	0.773
Stool Treated	xgboost	0.7676767676767677	0.9808909444985394	0.773
