analysis_group	model	fpr	tpr	auc
Stool Active	rf	0.1515151515151515	0.5899999999999999	0.792
Stool Active	rf	0.1616161616161616	0.5899999999999999	0.792
Stool Active	rf	0.1717171717171717	0.5899999999999999	0.792
Stool Active	rf	0.1818181818181818	0.5899999999999999	0.792
Stool Active	rf	0.1919191919191919	0.5899999999999999	0.792
Stool Active	rf	0.202020202020202	0.6833333333333331	0.792
Stool Active	rf	0.2121212121212121	0.6833333333333331	0.792
Stool Active	rf	0.2222222222222222	0.6933333333333332	0.792
Stool Active	rf	0.2323232323232323	0.6936363636363636	0.792
Stool Active	rf	0.2424242424242424	0.6939393939393939	0.792
Stool Active	rf	0.2525252525252525	0.6942424242424241	0.792
Stool Active	rf	0.2626262626262626	0.6945454545454544	0.792
Stool Active	rf	0.2727272727272727	0.6948484848484847	0.792
Stool Active	rf	0.2828282828282829	0.695151515151515	0.792
Stool Active	rf	0.2929292929292929	0.6954545454545453	0.792
Stool Active	rf	0.303030303030303	0.7424242424242423	0.792
Stool Active	rf	0.3131313131313131	0.7427272727272727	0.792
Stool Active	rf	0.3232323232323232	0.7430303030303029	0.792
Stool Active	rf	0.3333333333333333	0.7733333333333333	0.792
Stool Active	rf	0.3434343434343435	0.7733333333333333	0.792
Stool Active	rf	0.3535353535353536	0.7733333333333333	0.792
Stool Active	rf	0.3636363636363636	0.7733333333333333	0.792
Stool Active	rf	0.3737373737373737	0.7733333333333333	0.792
Stool Active	rf	0.3838383838383838	0.7733333333333333	0.792
Stool Active	rf	0.393939393939394	0.7733333333333333	0.792
Stool Active	rf	0.4040404040404041	0.8133333333333331	0.792
Stool Active	rf	0.4141414141414142	0.8133333333333331	0.792
Stool Active	rf	0.4242424242424242	0.8133333333333331	0.792
Stool Active	rf	0.4343434343434343	0.8133333333333331	0.792
Stool Active	rf	0.4444444444444445	0.8199999999999998	0.792
Stool Active	rf	0.4545454545454546	0.8199999999999998	0.792
Stool Active	rf	0.4646464646464647	0.8199999999999998	0.792
Stool Active	rf	0.4747474747474748	0.8199999999999998	0.792
Stool Active	rf	0.4848484848484848	0.8199999999999998	0.792
Stool Active	rf	0.494949494949495	0.8199999999999998	0.792
Stool Active	rf	0.5050505050505051	0.8566666666666666	0.792
Stool Active	rf	0.5151515151515152	0.8566666666666666	0.792
Stool Active	rf	0.5252525252525253	0.8566666666666666	0.792
Stool Active	rf	0.5353535353535354	0.8566666666666666	0.792
Stool Active	rf	0.5454545454545455	0.8566666666666666	0.792
Stool Active	rf	0.5555555555555556	0.8633333333333333	0.792
Stool Active	rf	0.5656565656565657	0.8633333333333333	0.792
Stool Active	rf	0.5757575757575758	0.8633333333333333	0.792
Stool Active	rf	0.5858585858585859	0.8633333333333333	0.792
Stool Active	rf	0.595959595959596	0.8633333333333333	0.792
Stool Active	rf	0.6060606060606061	0.9035353535353536	0.792
Stool Active	rf	0.6161616161616162	0.903872053872054	0.792
